No,Date,SO2,NOx,RSPM,SPM,AQI
1670,19-07-2017,13,20,52,75,52
1671,22-07-2017,12,18,38,67,38
1672,26-07-2017,13,20,52,93,52
1673,29-07-2017,15,27,58,104,58
1674,01-08-2017,21,37,78,162,78
1675,02-08-2017,17,27,60,106,60
1676,04-08-2017,19,32,71,143,71
1677,05-08-2017,15,21,54,96,54
1678,08-08-2017,20,34,76,146,76
1679,09-08-2017,16,25,60,112,60
1680,11-08-2017,22,37,78,157,78
1681,12-08-2017,17,27,65,120,65
1682,15-08-2017,28,40,92,199,92
1683,16-08-2017,18,28,69,126,69
1684,18-08-2017,26,37,88,183,88
1685,19-08-2017,19,31,75,138,75
1686,22-08-2017,22,36,94,164,94
1687,23-08-2017,17,27,65,110,65
1688,25-08-2017,20,33,81,141,81
1689,26-08-2017,17,26,64,103,64
1690,29-08-2017,18,28,69,124,69
1691,30-08-2017,15,21,50,94,50
1692,02-09-2017,16,29,60,109,60
1693,06-09-2017,12,14,94,263,94
1694,09-09-2017,12,14,76,149,76
1695,13-09-2017,16,22,74,131,74
1696,16-09-2017,12,15,59,103,59
1697,20-09-2017,14,19,72,111,72
1698,23-09-2017,17,21,70,106,70
1699,27-09-2017,14,19,84,146,84
1700,30-09-2017,15,20,76,136,76
1701,04-10-2017,16,20,75,147,75
1702,07-10-2017,15,18,67,129,67
1703,11-10-2017,16,19,73,127,73
1704,14-10-2017,14,17,66,112,66
1705,18-10-2017,26,39,110,250,107
1706,21-10-2017,24,33,100,206,100
1707,25-10-2017,24,30,90,178,90
1708,28-10-2017,19,25,83,159,83
1709,01-11-2017,25,33,113,247,109
1710,04-11-2017,20,25,94,219,94
1711,08-11-2017,17,28,87,239,87
1712,11-11-2017,19,31,92,254,92
1713,15-11-2017,18,30,91,251,91
1714,18-11-2017,16,27,85,230,85
1715,22-11-2017,21,28,97,276,97
1716,25-11-2017,22,31,103,324,102
1717,29-11-2017,23,33,101,347,101
1718,02-12-2017,24,36,106,364,104
1719,06-12-2017,17,22,74,160,74
1720,09-12-2017,20,31,90,281,90
1721,13-12-2017,23,36,103,369,102
1722,16-12-2017,26,48,107,418,105
1723,20-12-2017,28,53,120,481,113
1724,23-12-2017,30,60,132,566,121
1725,27-12-2017,31,60,133,577,122
1726,30-12-2017,32,63,136,586,124
1727,03-01-2018,31,64,129,575,119
1728,06-01-2018,33,66,133,592,122
1729,10-01-2018,30,63,126,535,117
1730,13-01-2018,29,61,119,506,113
1731,17-01-2018,30,63,130,515,120
1732,20-01-2018,28,57,124,465,116
1733,24-01-2018,31,59,128,494,119
1734,27-01-2018,34,63,132,513,121
1735,31-01-2018,34,63,132,513,121
1736,03-02-2018,27,50,110,393,107
1737,07-02-2018,29,55,127,420,118
1738,10-02-2018,27,52,117,390,111
1739,14-02-2018,26,46,106,365,104
1740,17-02-2018,24,41,101,330,101
1741,21-02-2018,25,44,102,349,101
1742,24-02-2018,23,40,97,328,97
1743,28-02-2018,22,37,92,313,92
1744,03-03-2018,23,38,103,358,102
1745,07-03-2018,20,35,97,339,97
1746,10-03-2018,21,36,100,355,100
1747,14-03-2018,19,35,90,325,90
1748,17-03-2018,18,30,86,305,86
1749,21-03-2018,19,37,94,334,94
1750,24-03-2018,20,42,98,368,98
1751,28-03-2018,21,42,103,385,102
1752,31-03-2018,22,44,108,405,105
1753,04-04-2018,21,40,99,367,99
1754,07-04-2018,19,36,94,348,94
1755,11-04-2018,20,38,101,353,101
1756,14-04-2018,20,39,107,376,105
1757,18-04-2018,22,43,112,410,108
1758,21-04-2018,23,46,115,438,110
1759,25-04-2018,24,47,96,431,96
1760,28-04-2018,25,48,102,451,101
1761,02-05-2018,26,49,108,473,105
1762,05-05-2018,27,49,113,495,109
1763,09-05-2018,25,46,97,418,97
1764,12-05-2018,20,34,82,279,82
1765,16-05-2018,22,36,85,359,85
1766,19-05-2018,22,32,81,301,81
1767,23-05-2018,19,30,80,285,80
1768,26-05-2018,19,28,76,268,76
1769,30-05-2018,18,27,74,257,74
1770,02-06-2018,18,26,71,238,71
1771,06-06-2018,17,25,67,235,67
1772,09-06-2018,17,25,67,231,67
1773,13-06-2018,16,22,73,211,73
1774,16-06-2018,16,20,68,197,68
1775,20-06-2018,15,20,67,199,67
1776,23-06-2018,16,22,72,218,72
1777,27-06-2018,16,22,69,194,69
1778,30-06-2018,16,23,73,206,73
1779,04-07-2018,13,18,64,192,64
1780,07-07-2018,14,21,67,206,67
1781,14-07-2018,12,21,65,177,65
1782,18-07-2018,14,22,75,176,75
1783,21-07-2018,15,23,78,193,78
1784,25-07-2018,15,24,82,205,82
1785,28-07-2018,17,25,88,243,88
1786,01-08-2018,19,25,91,259,91
1787,04-08-2018,20,26,94,273,94
1788,08-08-2018,14,20,85,217,85
1789,11-08-2018,14,19,84,214,84
1790,15-08-2018,16,22,83,228,83
1791,18-08-2018,18,29,88,221,88
1792,22-08-2018,20,27,84,269,84
1793,25-08-2018,18,25,76,240,76
1794,01-09-2018,19,27,69,245,69
1795,05-09-2018,20,33,88,273,88
1796,08-09-2018,20,35,91,294,91
1797,12-09-2018,21,32,91,413,91
1798,15-09-2018,21,34,95,429,95
1799,19-09-2018,20,33,85,331,85
1800,22-09-2018,21,34,92,351,92
1801,26-09-2018,20,29,83,313,83
1802,29-09-2018,19,28,82,290,82
1803,03-10-2018,21,30,83,374,83
1804,06-10-2018,21,31,90,399,90
1805,10-10-2018,21,33,89,376,89
1806,13-10-2018,19,31,81,352,81
1807,17-10-2018,21,30,83,330,83
1808,20-10-2018,22,32,88,351,88
1809,24-10-2018,20,38,90,361,90
1810,27-10-2018,21,39,92,374,92
1811,31-10-2018,17,24,82,276,82
1812,03-11-2018,18,26,83,292,83
1813,07-11-2018,30,38,123,398,115
1814,10-11-2018,20,30,73,278,73
1815,14-11-2018,25,37,97,390,97
1816,17-11-2018,26,37,98,429,98
1817,21-11-2018,21,35,82,349,82
1818,24-11-2018,21,36,85,360,85
1819,28-11-2018,22,40,99,338,99
1820,01-12-2018,23,43,103,354,102
1821,05-12-2018,25,46,105,424,103
1822,08-12-2018,26,47,110,444,107
1823,12-12-2018,28,51,110,510,107
1824,15-12-2018,29,52,115,542,110
1825,19-12-2018,29,58,117,551,111
1826,22-12-2018,29,60,121,590,114
1827,26-12-2018,31,61,122,605,115
1828,29-12-2018,31,63,125,630,117
1829,01-01-2019,28,56,115,534,110
1830,04-01-2019,31,63,121,622,114
1831,08-01-2019,32,63,128,640,119
1832,11-01-2019,33,64,131,651,121
1833,15-01-2019,29,58,122,549,115
1834,18-01-2019,30,60,126,578,117
1835,22-01-2019,28,56,119,515,113
1836,25-01-2019,30,59,122,539,115
1837,29-01-2019,28,55,116,508,111
1838,01-02-2019,30,56,119,528,113
1839,05-02-2019,28,54,121,379,114
1840,08-02-2019,27,51,117,349,111
1841,12-02-2019,28,52,124,410,116
1842,15-02-2019,29,53,129,431,119
1843,19-02-2019,26,44,113,402,109
1844,22-02-2019,27,45,116,422,111
1845,26-02-2019,24,42,112,365,108
1846,01-03-2019,25,43,117,382,111
1847,05-03-2019,20,42,101,368,101
1848,08-03-2019,20,43,104,384,103
1849,12-03-2019,21,44,105,344,103
1850,15-03-2019,21,46,111,365,107
1851,19-03-2019,23,45,109,356,106
1852,22-03-2019,23,46,113,374,109
1853,26-03-2019,22,48,114,397,109
1854,29-03-2019,23,49,120,417,113
1855,02-04-2019,21,40,106,339,104
1856,05-04-2019,21,41,110,356,107
1857,09-04-2019,22,43,114,373,109
1858,12-04-2019,22,44,116,392,111
1859,16-04-2019,22,43,120,414,113
1860,19-04-2019,23,44,124,436,116
1861,23-04-2019,24,48,124,445,116
1862,26-04-2019,25,49,129,465,119
1863,30-04-2019,26,47,119,412,113
1864,03-05-2019,26,48,124,436,116
1865,07-05-2019,25,45,13,447,56
1866,10-05-2019,25,46,117,462,111
1867,14-05-2019,24,43,110,438,107
1868,17-05-2019,23,41,106,420,104
1869,21-05-2019,24,42,103,411,102
1870,24-05-2019,23,39,99,386,99
1871,28-05-2019,22,38,95,371,95
1872,31-05-2019,22,36,92,349,92
1873,04-06-2019,21,35,92,296,92
1874,07-06-2019,20,32,85,263,85
1875,11-06-2019,19,29,90,246,90
1876,14-06-2019,18,27,85,219,85
1877,18-06-2019,20,27,87,233,87
1878,21-06-2019,18,26,83,217,83
1879,25-06-2019,20,28,65,202,65
1880,28-06-2019,18,24,84,241,84
1881,02-07-2019,18,25,80,180,80
1882,05-07-2019,17,23,76,171,76
1883,09-07-2019,14,20,68,144,68
1884,12-07-2019,15,21,72,154,72
1885,16-07-2019,13,19,63,149,63
1886,19-07-2019,14,19,66,160,66
1887,23-07-2019,12,16,59,121,59
1888,13-08-2019,14,19,68,151,68
1889,16-08-2019,16,21,70,166,70
1890,20-08-2019,15,20,77,221,77
1891,23-08-2019,16,21,82,242,82
1892,27-08-2019,16,29,85,284,85
1893,30-08-2019,18,30,89,298,89
1894,03-09-2019,21,29,72,315,72
1895,10-09-2019,20,26,85,249,85
1896,13-09-2019,21,27,89,265,89
1897,17-09-2019,22,35,85,265,85
1898,20-09-2019,23,36,92,298,92
1899,24-09-2019,19,35,79,221,79
1900,27-09-2019,17,32,82,233,82
1901,01-10-2019,20,28,81,296,81
1902,04-10-2019,20,29,85,314,85
1903,08-10-2019,19,29,82,271,82
1904,11-10-2019,20,31,88,292,88
1905,15-10-2019,20,30,88,287,88
1906,18-10-2019,21,31,92,302,92
1907,22-10-2019,24,35,94,361,94
1908,29-10-2019,26,42,94,276,94
1909,01-11-2019,26,43,98,340,98
1910,05-11-2019,23,37,96,376,96
1911,08-11-2019,23,38,99,392,99
1912,12-11-2019,22,35,88,378,88
1913,15-11-2019,25,38,92,405,92
1914,19-11-2019,22,37,90,385,90
1915,22-11-2019,23,38,94,399,94
1916,26-11-2019,25,37,99,431,99
1917,29-11-2019,26,38,101,449,101
1918,03-12-2019,23,45,97,398,97
1919,06-12-2019,24,47,101,420,101
1920,10-12-2019,27,50,106,446,104
1921,13-12-2019,28,51,110,463,107
1922,17-12-2019,29,54,115,504,110
1923,20-12-2019,30,56,119,522,113
1924,24-12-2019,31,59,120,516,113
1925,27-12-2019,32,60,123,533,115
1926,31-12-2019,32,62,124,551,116
1927,03-01-2020,28,59,117,521,111
1928,07-01-2020,29,70,126,423,117
1929,10-01-2020,29,71,131,449,121
1930,14-01-2020,28,64,115,439,110
1931,17-01-2020,30,65,123,474,115
1932,21-01-2020,28,60,117,431,111
1933,24-01-2020,29,61,123,453,115
1934,28-01-2020,27,56,122,410,115
1935,31-01-2020,26,54,15,389,68
1936,04-02-2020,28,56,115,401,110
1937,07-02-2020,29,58,122,433,115
1938,11-02-2020,25,51,122,399,115
1939,14-02-2020,25,52,127,430,118
1940,18-02-2020,25,52,105,399,103
1941,21-02-2020,25,53,109,415,106
1942,25-02-2020,26,53,103,380,102
1943,28-02-2020,27,54,108,415,105
1944,03-03-2020,23,47,108,377,105
1945,06-03-2020,24,48,111,390,107
1946,10-03-2020,22,46,103,362,102
1947,13-03-2020,22,47,108,381,105
1948,17-03-2020,21,38,101,365,101
1949,20-03-2020,20,37,97,340,97
1950,07-04-2020,14,27,57,143,57
1951,10-04-2020,13,24,51,123,51
1952,14-04-2020,16,24,66,138,66
1953,17-04-2020,16,24,69,149,69
1954,21-04-2020,15,22,65,144,65
1955,24-04-2020,14,20,62,133,62
1956,28-04-2020,13,19,62,133,62
1957,05-06-2020,13,21,63,169,63
1958,09-06-2020,13,21,67,198,67
1959,12-06-2020,13,22,71,211,71
1960,19-06-2020,14,22,60,160,60
1961,23-06-2020,15,23,65,228,65
1962,26-06-2020,16,25,70,243,70
1963,30-06-2020,16,26,77,251,77
1964,03-07-2020,14,22,71,172,71
1965,07-07-2020,14,21,60,108,60
1966,10-07-2020,12,18,57,133,57
1967,14-07-2020,14,20,63,149,63
1968,17-07-2020,13,19,52,131,52
1969,21-07-2020,13,18,64,155,64
1970,24-07-2020,13,18,54,146,54
1971,28-07-2020,10,15,55,139,55
1972,31-07-2020,10,15,58,147,58
1973,07-08-2020,13,14,60,124,60
1974,11-08-2020,12,18,70,153,70
1975,18-08-2020,9,15,47,92,47
1976,21-08-2020,12,16,67,138,67
1977,25-08-2020,13,15,63,133,63
1978,28-08-2020,12,14,58,117,58
1979,01-09-2020,14,19,71,153,71
1980,04-09-2020,13,17,65,134,65
1981,11-09-2020,12,18,72,136,72
1982,15-09-2020,13,17,62,131,62
1983,18-09-2020,14,18,65,141,65
1984,22-09-2020,13,19,63,151,63
1985,25-09-2020,12,17,60,140,60
1986,29-09-2020,15,18,73,160,73
1987,02-10-2020,14,19,68,149,68
1988,06-10-2020,16,23,78,195,78
1989,09-10-2020,17,25,83,210,83
1990,13-10-2020,13,21,76,160,76
1991,16-10-2020,15,23,83,174,83
1992,20-10-2020,14,23,79,177,79
1993,23-10-2020,15,25,83,189,83
1994,27-10-2020,17,24,85,184,85
1995,30-10-2020,18,26,92,197,92
1996,03-11-2020,19,26,94,254,94
1997,06-11-2020,20,26,101,269,101
1998,10-11-2020,22,32,90,373,90
1999,13-11-2020,28,34,115,369,110
2000,17-11-2020,24,34,107,351,105
2001,20-11-2020,17,28,92,364,92
2002,24-11-2020,17,25,83,364,83
2003,27-11-2020,18,26,88,381,88
2004,08-12-2020,20,34,90,380,90
2005,11-12-2020,21,35,94,399,94
2006,15-12-2020,22,36,94,396,94
2007,18-12-2020,23,37,101,419,101
2008,22-12-2020,24,38,104,437,103
2009,25-12-2020,26,40,109,455,106
2010,29-12-2020,28,41,112,467,108
2011,01-01-2021,29,41,114,480,109
2012,05-01-2021,19,33,85,339,85
2013,08-01-2021,19,34,88,354,88
2014,12-01-2021,27,42,97,454,97
2015,15-01-2021,28,44,103,474,102
2016,19-01-2021,27,44,108,456,105
2017,22-01-2021,28,45,113,472,109
2018,26-01-2021,30,50,119,508,113
2019,29-01-2021,30,51,124,523,116
2020,02-02-2021,28,53,117,444,111
2021,05-02-2021,29,53,123,458,115
2022,09-02-2021,27,51,114,442,109
2023,12-02-2021,28,52,117,468,111
2024,16-02-2021,26,45,102,406,101
2025,19-02-2021,27,46,106,429,104
2026,23-02-2021,23,44,111,398,107
2027,26-02-2021,25,45,117,415,111
2028,02-03-2021,23,33,106,340,104
2029,05-03-2021,24,34,109,354,106
2030,09-03-2021,20,33,108,404,105
2031,12-03-2021,21,34,113,423,109
2032,16-03-2021,22,36,119,379,113
2033,19-03-2021,22,35,113,363,109
2034,23-03-2021,24,42,123,439,115
2035,26-03-2021,21,39,112,417,108
2036,30-03-2021,25,47,115,437,110
2037,02-04-2021,23,43,106,406,104
2038,06-04-2021,19,31,94,327,94
2039,09-04-2021,19,30,98,358,98
2040,13-04-2021,18,26,85,301,85
2041,16-04-2021,15,26,78,283,78
2042,20-04-2021,13,21,76,189,76
2043,23-04-2021,14,21,80,197,80
2044,27-04-2021,11,16,67,129,67
2045,30-04-2021,12,17,69,137,69
2046,04-05-2021,16,23,71,151,71
2047,07-05-2021,14,21,72,151,72
2048,11-05-2021,14,22,81,183,81
2049,14-05-2021,15,23,83,178,83
2050,18-05-2021,10,17,61,108,61
2051,21-05-2021,10,18,67,121,67
2052,25-05-2021,15,20,84,176,84
2053,28-05-2021,15,19,78,163,78
2054,02-07-2021,13,20,76,159,76
2055,06-07-2021,11,19,72,142,72
2056,09-07-2021,12,21,69,133,69
2057,03-08-2021,9,12,54,88,54
2058,06-08-2021,7,14,58,96,58
2059,10-08-2021,12,19,72,130,72
2060,13-08-2021,11,19,63,104,63
2061,17-08-2021,11,17,69,109,69
2062,20-08-2021,8,17,71,123,71
2063,24-08-2021,15,18,85,160,85
2064,27-08-2021,15,20,78,148,78
2065,31-08-2021,11,17,74,131,74
2066,03-09-2021,14,21,85,157,85
2067,10-09-2021,12,20,77,149,77
2068,14-09-2021,13,17,80,152,80
2069,17-09-2021,14,18,83,162,83
2070,21-09-2021,14,18,70,165,70
2071,24-09-2021,15,19,74,178,74
2072,28-09-2021,15,22,82,166,82
2073,01-10-2021,14,20,78,158,78
2074,05-10-2021,15,20,90,178,90
2075,08-10-2021,16,22,94,190,94
2076,12-10-2021,17,23,92,192,92
2077,15-10-2021,18,24,94,201,94
2078,19-10-2021,18,28,81,202,81
2079,22-10-2021,19,31,85,215,85
2080,26-10-2021,19,34,88,210,88
2081,28-10-2021,21,39,92,263,92
2082,29-10-2021,24,41,105,298,103
2083,30-10-2021,27,45,104,308,103
2084,31-10-2021,25,41,115,344,110
2085,02-11-2021,30,51,121,352,114
2086,05-11-2021,33,63,132,413,121
2087,09-11-2021,25,38,104,328,103
2088,12-11-2021,22,34,86,282,86
2089,16-11-2021,21,30,80,235,80
2090,19-11-2021,19,27,72,212,72
2091,23-11-2021,21,33,80,204,80
2092,26-11-2021,20,31,73,185,73
2093,30-11-2021,21,31,77,153,77
2094,03-12-2021,19,28,72,127,72
2095,07-12-2021,14,26,83,176,83
2096,10-12-2021,15,28,89,192,89
2097,14-12-2021,13,25,74,192,74
2098,17-12-2021,15,27,85,210,85
2099,21-12-2021,12,23,78,156,78
2100,24-12-2021,13,24,81,169,81
2101,28-12-2021,16,29,91,210,91
2102,31-12-2021,18,31,97,224,97
2103,04-01-2022,13,23,83,166,83
2104,07-01-2022,9,23,78,152,78
2105,11-01-2022,11,21,74,174,74
2106,14-01-2022,10,21,66,155,66
2107,18-01-2022,14,25,78,173,78
2108,21-01-2022,13,22,73,154,73
2109,25-01-2022,12,21,82,147,82
2110,28-01-2022,11,19,74,135,74
2111,01-02-2022,11,21,88,172,88
2112,04-02-2022,12,23,101,191,101
2113,08-02-2022,13,21,74,173,74
2114,11-02-2022,14,22,79,184,79
2115,15-02-2022,13,20,74,153,74
2116,18-02-2022,14,23,80,166,80
2117,22-02-2022,14,22,81,180,81
2118,25-02-2022,14,20,72,165,72
2119,01-03-2022,11,24,75,151,75
2120,04-03-2022,12,25,78,163,78
2121,08-03-2022,13,26,67,157,67
2122,11-03-2022,13,27,74,167,74
2123,15-03-2022,15,23,67,157,67
2124,18-03-2022,16,26,80,177,80
2125,22-03-2022,12,22,75,165,75
2126,25-03-2022,12,20,71,155,71
2127,29-03-2022,13,26,83,192,83
2128,31-03-2022,17,29,79,176,79
2129,01-04-2022,12,26,69,169,69
2130,05-04-2022,15,23,68,140,68
2131,08-04-2022,14,27,71,148,71
2132,12-04-2022,15,27,90,174,90
2133,15-04-2022,14,25,72,147,72
2134,19-04-2022,13,24,67,154,67
2135,22-04-2022,12,22,63,142,63
2136,26-04-2022,13,26,68,183,68
2137,29-04-2022,14,26,71,192,71
2138,03-06-2022,13,22,60,124,60
2139,07-06-2022,16,21,65,166,65
2140,10-06-2022,15,22,67,176,67
2141,14-06-2022,15,21,67,176,67
2142,17-06-2022,17,22,72,187,72
2143,21-06-2022,7,14,49,103,49
2144,24-06-2022,11,18,61,135,61
2145,28-06-2022,9,18,58,122,58
2146,01-07-2022,9,21,54,106,54
2147,19-07-2022,8,16,51,90,51
2148,22-07-2022,9,15,49,95,49
2149,26-07-2022,10,16,57,115,57
2150,29-07-2022,9,15,54,108,54
2151,02-08-2022,11,17,62,106,62
2152,05-08-2022,11,18,66,113,66
2153,12-08-2022,9,14,59,108,59
2154,19-08-2022,11,16,68,131,68
2155,23-08-2022,14,24,71,145,71
2156,26-08-2022,14,26,75,158,75
2157,30-08-2022,13,25,71,133,71
2158,02-09-2022,11,23,77,148,77
2159,06-09-2022,11,19,62,120,62
2160,09-09-2022,18,30,94,176,94
2161,16-09-2022,12,19,56,115,56
2162,20-09-2022,12,23,66,127,66
2163,23-09-2022,13,24,72,138,72
2164,27-09-2022,15,22,66,152,66
2165,30-09-2022,12,23,71,127,71
2166,04-10-2022,12,23,79,149,79
2167,07-10-2022,11,17,63,114,63
2168,11-10-2022,10,17,35,60,35
2169,14-10-2022,11,19,60,102,60
2170,18-10-2022,10,13,48,93,48
2171,21-10-2022,13,20,66,115,66
2172,25-10-2022,12,22,78,144,78
2173,28-10-2022,11,18,61,115,61
2174,01-11-2022,11,19,65,133,65
2175,04-11-2022,12,21,70,147,70
2176,08-11-2022,14,22,68,148,68
2177,11-11-2022,13,20,63,135,63
2178,15-11-2022,14,18,73,135,73
2179,18-11-2022,14,19,76,144,76
2180,22-11-2022,15,24,72,152,72
2181,25-11-2022,16,24,78,164,78
2182,29-11-2022,14,20,65,148,65
2183,02-12-2022,15,21,67,156,67
2184,06-12-2022,14,25,72,158,72
2185,09-12-2022,16,26,76,166,76
2186,13-12-2022,13,23,64,138,64
2187,16-12-2022,15,25,68,148,68
2188,20-12-2022,16,26,69,166,69
2189,23-12-2022,17,27,72,174,72
2190,27-12-2022,16,29,74,185,74
2191,30-12-2022,17,30,77,192,77
2192,03-01-2023,14,23,69,131,69
2193,06-01-2023,15,24,72,140,72
2194,10-01-2023,16,26,69,166,69
2195,13-01-2023,16,27,74,180,74
2196,17-01-2023,17,28,75,182,75
2197,20-01-2023,17,29,78,192,78
2198,24-01-2023,18,28,82,191,82
2199,27-01-2023,19,29,87,201,87
2200,31-01-2023,20,30,84,190,84
2201,03-02-2023,17,27,72,157,72
2202,07-02-2023,17,26,76,171,76
2203,10-02-2023,17,28,79,180,79
2204,14-02-2023,15,26,73,154,73
2205,17-02-2023,14,25,69,144,69
2206,21-02-2023,19,28,80,179,80
2207,24-02-2023,17,27,74,167,74
2208,28-02-2023,15,23,87,155,87
2209,03-03-2023,13,21,64,135,64
2210,07-03-2023,14,22,70,169,70
2211,10-03-2023,15,23,73,180,73
2212,14-03-2023,16,23,75,176,75
2213,17-03-2023,17,23,78,185,78
2214,21-03-2023,15,28,76,183,76
2215,24-03-2023,16,29,81,198,81
2216,28-03-2023,16,27,72,162,72
